Name,Corr MRR,p_value_m,Corr Top1,p_value_t

craftdroid_all_oracle_full,0.39127,0.00097,0.51457,0.00001
atm_atm_oracle_passfree_full,0.36065,0.00252,0.45427,0.00010
craftdroid_atm_oracle_full,0.12182,0.32236,0.17326,0.15766
craftdroid_craftdroid_oracle_full,0.45811,0.00009,0.56975,0.00000

craftdroid_all_nooracle_full,0.39830,0.00077,0.49938,0.00001
atm_atm_nooracle_full,0.36293,0.00235,0.47152,0.00005
craftdroid_atm_nooracle_full,0.12161,0.32322,0.18412,0.13284
craftdroid_craftdroid_nooracle_full,0.46736,0.00006,0.55274,0.00000
