training_set,word_embedding,descriptors,algorithm
empty,es,union,perfect
googleplay,wm,atm_d,atm_a
blogs,fast,atm_d,atm_a
googleplay,wm,atm_d,semfinder_a
standard,use,atm_d,craftdroid_a
empty,js,atm_d,craftdroid_a
standard,nnlm,craftdroid_d,semfinder_a
blogs,wm,intersection,atm_a
standard,wm,intersection,adaptdroid_a
standard,nnlm,intersection,adaptdroid_a
blogs,wm,craftdroid_d,semfinder_a
standard,bert,atm_d,craftdroid_a
googleplay,fast,atm_d,atm_a
blogs,wm,atm_d,semfinder_a
manuals,fast,atm_d,craftdroid_a
blogs,glove,atm_d,atm_a
manuals,fast,atm_d,semfinder_a
blogs,fast,atm_d,craftdroid_a
googleplay,wm,craftdroid_d,craftdroid_a
standard,bert,atm_d,adaptdroid_a
standard,nnlm,craftdroid_d,adaptdroid_a
standard,nnlm,union,semfinder_a
manuals,wm,union,semfinder_a
standard,wm,union,adaptdroid_a
blogs,wm,craftdroid_d,adaptdroid_a
empty,es,atm_d,semfinder_a
standard,fast,union,craftdroid_a
standard,w2v,atm_d,craftdroid_a
manuals,glove,atm_d,craftdroid_a
manuals,w2v,atm_d,adaptdroid_a
standard,w2v,intersection,craftdroid_a
standard,fast,intersection,adaptdroid_a
empty,js,union,adaptdroid_a
standard,w2v,intersection,semfinder_a
standard,w2v,craftdroid_d,semfinder_a
standard,bert,craftdroid_d,adaptdroid_a
googleplay,w2v,intersection,craftdroid_a
standard,nnlm,craftdroid_d,atm_a
blogs,fast,union,semfinder_a
manuals,fast,intersection,atm_a
blogs,fast,intersection,craftdroid_a
standard,wm,union,atm_a
googleplay,wm,union,atm_a
manuals,wm,union,atm_a
blogs,fast,intersection,adaptdroid_a
blogs,w2v,atm_d,adaptdroid_a
blogs,fast,intersection,atm_a
standard,w2v,union,atm_a
blogs,glove,craftdroid_d,craftdroid_a
manuals,glove,intersection,adaptdroid_a
empty,js,union,atm_a
blogs,fast,atm_d,adaptdroid_a
manuals,glove,union,atm_a
standard,glove,intersection,semfinder_a
manuals,w2v,craftdroid_d,adaptdroid_a
googleplay,glove,craftdroid_d,semfinder_a
empty,es,intersection,adaptdroid_a
manuals,fast,craftdroid_d,adaptdroid_a
standard,fast,craftdroid_d,semfinder_a
blogs,glove,craftdroid_d,atm_a
manuals,glove,craftdroid_d,atm_a
googleplay,w2v,union,adaptdroid_a
manuals,w2v,craftdroid_d,semfinder_a
googleplay,w2v,craftdroid_d,semfinder_a
manuals,fast,union,semfinder_a
manuals,fast,union,adaptdroid_a
blogs,w2v,craftdroid_d,adaptdroid_a
blogs,glove,union,semfinder_a
blogs,w2v,craftdroid_d,atm_a
empty,random,union2,random
empty,random,union8,random
empty,random,union6,random
empty,random,union9,random
empty,random,union,random
empty,random,union10,random
empty,random,union5,random
empty,random,union7,random
empty,random,union3,random
empty,random,union4,random
empty,random,union1,random
